College_Code,College_Name,Tic_Email
1,Acharya Narendra Dev College,tic.andc@du.ac.in
59,Aryabhatta College,tic.ac@du.ac.in
3,Atma Ram Sanatan Dharma,tic.arsd@du.ac.in
7,Bhagini Nivedita College (W),tic.bncw@du.ac.in
8,Bharati College (W),tic.bcw@du.ac.in
9,Bhaskaracharya College of Applied Sciences,tic.bcas@du.ac.in
13,College of Vocational Studies,tic.covs@du.ac.in
15,Deen Dayal Upadhyaya College,tic.dduc@du.ac.in
16,Delhi College of Arts and Commerce,tic.dcoac@du.ac.in
19,Deshbandhu College,tic.dbc@du.ac.in
21,Dyal Singh College,tic.dsc@du.ac.in
22,Dyal Singh College (Evening),tic.dsce@du.ac.in
24,Gargi College (W),tic.gcw@du.ac.in
25,Hansraj College,tic.hc@du.ac.in
29,Indraprastha College for Women (W),tic.icfw@du.ac.in
31,Janki Devi Memorial College (W),tic.jdmcw@du.ac.in
32,Jesus & Mary College (W),tic.jmcw@du.ac.in
33,Kalindi College (W),tic.kcw@du.ac.in
35,Keshav Mahavidyalaya,tic.km@du.ac.in
36,Kirori Mal College,tic.kmc@du.ac.in
39,Lady Shri Ram College for Women (W),tic.lsrcw@du.ac.in
40,Lakshmibai College (W),tic.lc@du.ac.in
41,Maharaja Agrasen College,tic.mac@du.ac.in
43,Maitreyi College (W),tic.mcw@du.ac.in
44,Mata Sundri College for women (W),tic.mscfw@du.ac.in
47,Miranda House (W),tic.mhw@du.ac.in
48,Motilal Nehru College,tic.mnc@du.ac.in
53,P.G.D.A.V College,tic.pgdav@du.ac.in
55,Rajdhani College,tic.rc@du.ac.in
58,Ram Lal Anand College,tic.rlac@du.ac.in
20,Ramanujan College,tic.ramanujan@du.ac.in
66,Shaheed Rajguru College of Applied Sciences for Women (W),tic.srcoasw@du.ac.in
67,Shaheed Sukhdev College Business Studies,tic.sscbs@du.ac.in
71,Shivaji College,tic.sc@du.ac.in
73,Shyam Lal College,tic.slc@du.ac.in
74,Shyam Lal College (Evening),tic.slce@du.ac.in
75,Shyama Prasad Mukherji College For Women (W),tic.spmcw@du.ac.in
76,Sri Aurobindo College (Day),tic.sac@du.ac.in
78,Sri Guru Gobind Singh College of Commerce,tic.sggscoc@du.ac.in
69,Sri Guru Tegh Bahadur Khalsa College,tic.sgtbkc@du.ac.in
79,Sri Venketeswara College,tic.svc@du.ac.in
80,St. Stephen's College*,tic.stsc@du.ac.in
81,Swami Shardhanand College,tic.swamisc@du.ac.in
84,Vivekananda College (W),tic.vcw@du.ac.in
100,SOL,tic.sol@du.ac.in
